code,name,retryable,subsystem,description
43,Equivocation,no,audit,"two conflicting signed statements occupy one chain position (§8)"
44,CausalViolation,no,audit,"an object is applied before a declared cause (§8, §13)"
45,ReceiptUnsigned,no,audit,"an authoritative receipt is not signed (§8)"
46,ForkProofInvalid,no,audit,"an audit fork proof is not one signer over two conflicting objects (§8)"
47,StageOutOfOrder,no,delivery,"a delivery stage arrived out of its required order (§9)"
48,StreamDigestMismatch,no,streaming,"a stream commit digest does not equal the recomputed rolling digest (§10)"
49,StreamStateError,no,streaming,"a streaming event is illegal for the current stream state (§10 state table)"
50,ConfidentialTransportRequired,no,transport,"an object requiring a confidential transport was received without one (§12)"
51,PeerUnauthenticated,no,transport,"the transport peer is not authenticated (§12)"
52,NotDelivered,yes,carriage,"a carriage delivery did not complete; an unmodified retry may later succeed (§13)"
53,MappingError,no,carriage,"a foreign-carriage mapping could not be applied (§13)"
54,EffectDeclarationMismatch,no,channels,"a channel object's declared effect disagrees with its kind (§14)"
55,StateTransitionError,no,channels,"a channel state transition is not permitted (§14 state table)"
56,CapExceedsParent,no,channels,"a capability grant exceeds its parent's scope (§14)"
57,TransformCycle,no,channels,"a capability transform graph contains a cycle (§14)"
58,InputGateBypass,no,channels,"a workflow input gate was bypassed (§14)"
59,TaskStateError,no,channels,"a task state transition is not permitted (§14)"
60,ScopeOverlapConflict,no,federation,"two federated scopes overlap in conflict (§15)"
61,ReconcileMismatch,no,federation,"a federated reconcile verifier's independent recomputation disagrees with the presented linearization (§15)"
62,WrongFlow,no,continuation,"a continuation frame names the wrong flow"
63,SeqGap,no,continuation,"a continuation sequence has a gap"
64,AboveCeiling,no,continuation,"a continuation sequence exceeds its declared ceiling"
65,GapDetected,no,continuation,"a continuation commit detects a missing frame"
66,CommitMismatch,no,continuation,"a continuation commit digest does not match the frames"
67,ContMalformed,no,continuation,"a continuation frame is structurally malformed"
68,GrantExpired,no,delegation,"a delegation grant's validity window has passed"
69,GrantNotYetValid,no,delegation,"a delegation grant is not yet valid"
70,GrantRevoked,no,delegation,"a delegation grant is revoked"
71,UntrustedChainRoot,no,delegation,"a delegation chain does not root in a trusted grantor"
72,DelegationDepthExceeded,no,delegation,"the declared or realized delegation depth exceeds max_depth"
73,GrantMalformed,no,delegation,"a delegation grant object is structurally malformed"
74,NameMalformed,no,naming,"a naming object is structurally malformed"
75,NameChainBroken,no,naming,"a name-binding chain link does not verify"
76,NameForkProofInvalid,no,naming,"a name fork proof is not one signer over two conflicting bindings"
77,IllegalTransition,no,naming,"a naming state transition is not permitted"
78,TaskChainBroken,no,naming,"an A2A task chain link does not verify"
79,ForeignCard,no,naming,"a foreign agent-card reference is invalid"
80,DescMalformed,no,description,"a description object is structurally malformed"
81,MalformedApprovalFlag,no,description,"a description approval flag is malformed"
82,DirForkProofInvalid,no,description,"a directory fork proof is not one signer over two conflicting directory objects"
83,ImporterMismatch,no,description,"a description import's importer does not match"
84,UnknownDescriptionFormat,no,description,"a description carries an unregistered format code"
85,VerifierKeyMismatch,no,description,"a description import's verifier key does not match the declared alg/key"
86,NegMalformed,no,negotiation,"a negotiation object is structurally malformed"
87,UnknownRole,no,negotiation,"a negotiation role is unknown"
88,UnknownProfile,no,negotiation,"a negotiation profile is unknown"
89,NotDescended,no,negotiation,"a negotiation accept does not descend from the offer"
90,NotOffer,no,negotiation,"an object expected to be an offer is not one"
91,NotAccept,no,negotiation,"an object expected to be an accept is not one"
92,MalformedCriticalFlag,no,negotiation,"a negotiation critical flag is malformed"
93,UnknownCriticalRisk,no,negotiation,"a negotiation carries an unknown critical risk label"
94,ReferenceMismatch,no,negotiation,"a negotiation trust reference does not match"
95,MalformedAnnotation,no,mcp,"an MCP tool annotation is malformed"
96,EffectUnderDeclared,no,mcp,"an MCP annotation declares a lower effect than its mapping requires"
97,EffectOutsideLattice,no,mcp,"an MCP annotation maps to an effect outside the closed lattice"
98,ToolCallMalformed,no,mcp,"an MCP tool-call object is malformed"
99,PayMalformed,no,payment,"a payment object is structurally malformed"
100,UnknownPaymentFormat,no,payment,"a payment carries an unregistered format code"
101,GwMalformed,no,gateway,"a gateway object is structurally malformed"
102,UnknownGatewayDecision,no,gateway,"a gateway decision value is unknown"
103,UIMalformed,no,agui,"an AG-UI event object is malformed"
104,UIChainBroken,no,agui,"an AG-UI event chain link does not verify"
105,UnknownUIEventKind,no,agui,"an AG-UI event kind is unknown"
106,ActionSubstituted,no,agui,"an AG-UI action was substituted between render and confirm"
107,UINoConsent,no,agui,"an AG-UI effecting action lacks recorded user consent"
108,StaleEpoch,no,rooms,"a room operation names a stale membership epoch"
109,Unauthorized,no,rooms,"a room operation is not authorized for the principal"
110,OwnerImmutable,no,rooms,"a room owner cannot be changed by this operation"
111,MemberExists,no,rooms,"a room member add conflicts with an existing member"
112,MemberUnknown,no,rooms,"a room operation names an unknown member"
113,OwnerExists,no,rooms,"a room create conflicts with an existing owner"
114,RoleInvalid,no,rooms,"a room role value is invalid"
115,RoomOpMismatch,no,rooms,"a room operation kind does not match its payload"
116,OpUnknown,no,rooms,"a room operation kind is unknown"
117,PrincipalUnknown,no,rooms,"a room operation names an unknown principal"
118,PrincipalExists,no,rooms,"a room principal add conflicts with an existing principal"
119,RebindUnauthorized,no,rooms,"a room principal rebind is not authorized"
120,EgMalformed,no,gateway,"an egress-attestation object is structurally malformed"
121,UnknownEgressBinding,no,gateway,"an egress-attestation binding value is outside the closed content-bound/content-free set"
122,DecisionMalformed,no,gateway,"a decision-record object is structurally malformed, or a deny/hold outcome carries a consume reference"
123,UnknownOrderingBasis,no,gateway,"an ordering-disclosure basis value is outside the closed correspondence-only/single-boundary/external-mechanism set"
124,OrderingDisclosureMalformed,no,gateway,"an ordering-disclosure group violates its basis-conditioned field well-formedness"
125,TermDispositionMalformed,no,gateway,"a decision-record terms map carries a key outside the record's own field set"
126,CheckpointMalformed,no,audit,"a checkpoint-root object is structurally malformed"
127,WitnessRootMismatch,no,audit,"a witness-cosign names a root content id that does not match the checkpoint it accompanies"
128,InclusionProofInvalid,no,audit,"an inclusion-proof audit path does not recompute to the named checkpoint root"
129,ForeignProfileMalformed,no,gateway,"a foreign-profile-pin object is structurally malformed"
130,HazardMalformed,no,hazard,"a naalp-hazard-claim or naalp-hazard-authorization body is structurally malformed (wrong shape; a spatial-bounds axis with min greater than max; empty axes; or a non-NFC frame)"
131,HazardNotCovered,no,hazard,"a well-formed hazard claim's class or envelope is not fully covered by the presented hazard authorization (class/frame/axis-count mismatch; or an axis/speed/window bound outside the grant)"
132,HazardUnknown,no,hazard,"an action requiring a hazard declaration carries none or carries an unrecognized hazard value (normalized to the fail-closed class; returned when no claim exists to check coverage against)"
